r	c
0.165	9.498513825690521e-08
0.166	7.213062273481253e-08
0.167	5.4676184357649867e-08
0.168	4.137057796335992e-08
0.169	3.124641656803314e-08
0.17	2.3557242508665918e-08
0.171	1.7728200231815612e-08
0.17200000000000001	1.331745246224036e-08
0.17300000000000001	9.986063379898933e-09
0.17400000000000002	7.474540087211991e-09
0.17500000000000002	5.5845985567949896e-09
0.176	4.165020065889929e-09
0.177	3.1007033018002925e-09
0.178	2.3042076635529026e-09
0.179	1.7092343954300302e-09
0.18	1.265611866206861e-09
0.181	9.35445866430764e-10
0.182	6.901703306031397e-10
0.183	5.082925038362618e-10
0.184	3.736725568460296e-10
0.185	2.742136459799105e-10
0.186	2.0086652215136952e-10
0.187	1.468746912295839e-10
0.188	1.0720315093412485e-10
0.189	7.81069312464588e-11
0.19	5.68058810459152e-11
0.191	4.124003075947906e-11
0.192	2.9885936399042306e-11
0.193	2.161908004214245e-11
0.194	1.5610982927910793e-11
0.195	1.125242755759625e-11
0.196	8.0962773319046e-12
0.197	5.8149760834914384e-12
0.198	4.169021402170954e-12
0.199	2.9836245847777866e-12
0.2	2.1314655228257916e-12
0.201	1.519976063840358e-12
0.202	1.0819811697194917e-12
0.203	7.688248031668658e-13
0.20400000000000001	5.453307753543979e-13
0.20500000000000002	3.861159782718278e-13
0.20600000000000002	2.7289833652511987e-13
0.20700000000000002	1.9253493863385675e-13
0.20800000000000002	1.3559508844887604e-13
0.209	9.532444960347612e-14
0.21	6.689455753345632e-14
0.211	4.6860140350986704e-14
0.212	3.27674685454535e-14
0.213	2.2872249912812565e-14
0.214	1.5936823228871577e-14
0.215	1.1084642046257482e-14
0.216	7.696066587077985e-15
0.217	5.333881457916019e-15
0.218	3.690162346701499e-15
0.219	2.5484453580948053e-15
0.22	1.7568435368675092e-15
0.221	1.208979438275031e-15
0.222	8.304872633819736e-16
0.223	5.694760057150832e-16
0.224	3.898041280771157e-16
0.225	2.6634597818603753e-16
0.226	1.8166644250844187e-16
0.227	1.2368934524383618e-16
0.228	8.40657379161297e-17
0.229	5.703416346504097e-17
0.23	3.8626074672394734e-17
0.231	2.611293407868752e-17
0.232	1.7622215496750743e-17
0.233	1.1871216405688475e-17
0.234	7.98288647583037e-18
0.23500000000000001	5.358643163181709e-18
0.23600000000000002	3.590707351501023e-18
0.23700000000000002	2.401793167207397e-18
0.23800000000000002	1.6036949131170588e-18
0.23900000000000002	1.0689037003065014e-18
0.24	7.111909468893502e-19
0.241	4.723509525575404e-19
0.242	3.1316587581580086e-19
0.243	2.072598862172018e-19
0.244	1.3692646133302507e-19
0.245	9.030066339439474e-20
0.246	5.944646620779837e-20
0.247	3.906544796121135e-20
0.248	2.5626621449379924e-20
0.249	1.6781152825252832e-20
0.25	1.0969434481503574e-20
0.251	7.15778754264096e-21
0.252	4.6623577872556035e-21
0.253	3.0315499700173493e-21
0.254	1.9676883353480162e-21
0.255	1.2749126907287409e-21
0.256	8.245884283610302e-22
0.257	5.323862011437328e-22
0.258	3.431225105172638e-22
0.259	2.207519754484769e-22
0.26	1.4177284498626872e-22
0.261	9.088970166186802e-23
0.262	5.816604929263111e-23
0.263	3.7158469606532036e-23
0.264	2.3696244919290783e-23
0.265	1.5084634608671693e-23
0.266	9.585697231050166e-24
0.267	6.080598957493447e-24
0.268	3.8503733817526525e-24
0.269	2.4338468968540946e-24
0.27	1.5357399316652035e-24
0.271	9.673334373033952e-25
0.272	6.082315062935707e-25
0.273	3.817648168923952e-25
0.274	2.391978395228373e-25
0.275	1.4960739146338306e-25
0.276	9.34078508103449e-26
0.277	5.82167990294523e-26
0.278	3.6219959630069633e-26
0.279	2.249481255900841e-26
0.28	1.394606398491647e-26
0.281	8.630895645462789e-27
0.28200000000000003	5.332060815075521e-27
0.28300000000000003	3.2882847375330565e-27
0.28400000000000003	2.0243188092785337e-27
0.28500000000000003	1.2440093701836275e-27
0.28600000000000003	7.631391176286123e-28
