r	c
0.138	8.804825870646766
0.139	8.724875621890547
0.14	8.642786069651741
0.141	8.55865671641791
0.142	8.472487562189055
0.143	8.381194029850747
0.144	8.284378109452737
0.145	8.180995024875623
0.146	8.07223880597015
0.147	7.96134328358209
0.148	7.848457711442786
0.149	7.730646766169154
0.15	7.6106965174129355
0.151	7.487711442786069
0.152	7.362885572139303
0.153	7.231641791044776
0.154	7.097761194029851
0.155	6.958407960199006
0.156	6.816865671641791
0.157	6.673034825870647
0.158	6.526716417910447
0.159	6.376865671641791
0.16	6.2256716417910445
0.161	6.072835820895523
0.162	5.920398009950249
0.163	5.768507462686567
0.164	5.611393034825871
0.165	5.449900497512438
0.166	5.289402985074627
0.167	5.131393034825871
0.168	4.976318407960199
0.169	4.821437810945274
0.17	4.666109452736318
0.171	4.506174129353234
0.172	4.349626865671642
0.173	4.197457711442786
0.174	4.049855721393034
0.175	3.90463184079602
0.176	3.759338308457711
0.177	3.6170398009950246
0.178	3.479452736318408
0.179	3.3441293532338308
0.18	3.2095223880597015
0.181	3.0812437810945275
0.182	2.9587960199004972
0.183	2.8400696517412936
0.184	2.729402985074627
0.185	2.618542288557214
0.186	2.504059701492537
0.187	2.3960746268656714
0.188	2.291189054726368
0.189	2.1891940298507464
0.19	2.0910199004975123
0.191	1.9965671641791045
0.192	1.9061542288557214
0.193	1.8198407960199006
0.194	1.7370646766169153
0.195	1.65963184079602
0.196	1.5893233830845772
0.197	1.5171940298507463
0.198	1.4466218905472639
0.199	1.3781890547263682
0.2	1.3119651741293532
0.201	1.2486766169154229
0.202	1.1883084577114427
0.203	1.131547263681592
0.204	1.0769800995024876
0.205	1.0240845771144278
0.206	0.9736716417910448
0.207	0.9253880597014925
0.208	0.8795572139303482
0.209	0.8354825870646766
0.21	0.7928407960199004
0.211	0.7521293532338308
0.212	0.7134179104477611
0.213	0.6759552238805969
0.214	0.6400646766169154
0.215	0.6054527363184079
0.216	0.5724228855721393
0.217	0.5418955223880597
0.218	0.5121940298507462
0.219	0.4829223880597015
0.22	0.4536373134328358
0.221	0.422426368159204
0.222	0.3955283582089552
0.223	0.37397860696517415
0.224	0.3532383084577114
0.225	0.3334865671641791
0.226	0.31502935323383086
0.227	0.2980691542288557
0.228	0.2814223880597015
0.229	0.26503383084577115
0.23	0.2486686567164179
0.231	0.23160547263681594
0.232	0.21784378109452737
0.233	0.20632537313432836
0.234	0.19518457711442788
0.235	0.1844646766169154
0.236	0.1743402985074627
0.237	0.16503532338308458
0.238	0.15596069651741293
0.239	0.1470582089552239
0.24	0.13827412935323383
0.241	0.12913034825870648
0.242	0.121218407960199
0.243	0.11516965174129354
0.244	0.1093905472636816
0.245	0.10389701492537312
0.246	0.09877910447761194
0.247	0.09439950248756218
0.248	0.09035572139303483
0.249	0.08638258706467662
0.25	0.08246268656716417
0.251	0.07853084577114429
0.252	0.07438159203980099
0.253	0.07105721393034826
0.254	0.06821990049751243
0.255	0.06552039800995026
0.256	0.06297412935323383
0.257	0.06062985074626866
0.258	0.05866119402985075
0.259	0.056827860696517414
0.26	0.05503830845771144
0.261	0.05328109452736318
0.262	0.05153582089552239
0.263	0.0497044776119403
0.264	0.04812855721393035
0.265	0.04685820895522388
0.266	0.045614626865671644
0.267	0.044411243781094525
0.268	0.043264527363184084
0.269	0.042212935323383084
0.27	0.04127666666666666
0.271	0.040367910447761196
0.272	0.03948900497512438
0.273	0.038637910447761194
0.274	0.03780363184079602
0.275	0.036945522388059704
0.276	0.03628273631840796
0.277	0.03574129353233831
0.278	0.03522149253731343
0.279	0.03472268656716418
0.28	0.03424522388059701
0.281	0.0338007960199005
0.282	0.03340487562189055
0.283	0.033032935323383084
0.284	0.03267213930348259
0.285	0.032319701492537316
0.286	0.03197223880597015
0.287	0.03160726368159204
0.288	0.031243930348258706
0.289	0.030991094527363185
0.29	0.030732487562189055
0.291	0.030480199004975124
0.292	0.03025258706467662
0.293	0.030048208955223882
0.294	0.029880696517412937
0.295	0.02974542288557214
0.296	0.029619850746268658
0.297	0.02950323383084577
0.298	0.02939417910447761
0.299	0.029275970149253733
0.3	0.029133333333333334
0.301	0.028993930348258704
0.302	0.02892870646766169
0.303	0.028893781094527362
0.304	0.028871542288557216
0.305	0.028859303482587067
0.306	0.0288573631840796
0.307	0.028877014925373135
0.308	0.028917114427860695
0.309	0.02896666666666667
0.31	0.029022039800995023
0.311	0.02908457711442786
0.312	0.029154079601990047
0.313	0.029229651741293532
0.314	0.02930805970149254
0.315	0.029376467661691545
0.316	0.02948273631840796
0.317	0.029618457711442787
0.318	0.029738457711442786
0.319	0.02983278606965174
0.32	0.02995039800995025
0.321	0.030087164179104474
0.322	0.030242039800995022
0.323	0.03040995024875622
0.324	0.03058805970149254
0.325	0.030774975124378108
0.326	0.030970298507462687
