t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
8199997.401039956	88.0217	46.6999	0.373743	0.459376	0	0	0	0	0	0	0	0
8300004.322760074	88.3672	46.3544	0.380395	0.462885	0	0	0	0	0	0	0	0
8399997.984479966	88.7074	46.0141	0.387072	0.466368	0	0	0	0	0	0	0	0
8500004.906200085	89.0425	45.6791	0.393774	0.469825	0	0	0	0	0	0	0	0
8599998.567919975	89.3725	45.3491	0.400502	0.473258	0	0	0	0	0	0	0	0
8700005.489640094	89.6975	45.024	0.407254	0.476666	0	0	0	0	0	0	0	0
8799999.151359987	90.0178	44.7038	0.414031	0.480049	0	0	0	0	0	0	0	0
8900006.073080106	90.3333	44.3883	0.420831	0.483408	0	0	0	0	0	0	0	0
8999999.734799996	90.6442	44.0774	0.427656	0.486744	0	0	0	0	0	0	0	0
9100006.656520113	90.9506	43.771	0.434503	0.490057	0	0	0	0	0	0	0	0
9200000.318240006	91.2526	43.469	0.441374	0.493346	0	0	0	0	0	0	0	0
9299993.979959896	91.5502	43.1713	0.448267	0.496613	0	0	0	0	0	0	0	0
9400000.901680013	91.8437	42.8779	0.455182	0.499858	0	0	0	0	0	0	0	0
9499994.563399907	92.133	42.5885	0.462119	0.503081	0	0	0	0	0	0	0	0
9600001.485120026	92.4183	42.3032	0.469078	0.506282	0	0	0	0	0	0	0	0
9699995.146839915	92.6997	42.0219	0.476059	0.509461	0	0	0	0	0	0	0	0
9800002.068560036	92.9772	41.7444	0.48306	0.51262	0	0	0	0	0	0	0	0
9899995.730279926	93.2509	41.4707	0.490082	0.515758	0	0	0	0	0	0	0	0
10000002.652000045	93.5209	41.2007	0.497125	0.518875	0	0	0	0	0	0	0	0
10099996.313719936	93.7873	40.9343	0.504188	0.521972	0	0	0	0	0	0	0	0
10200003.235440055	94.0501	40.6715	0.511271	0.525049	0	0	0	0	0	0	0	0
10299996.897159947	94.3094	40.4121	0.518373	0.528106	0	0	0	0	0	0	0	0
10400003.818880066	94.5653	40.1562	0.525495	0.531144	0	0	0	0	0	0	0	0
10499997.480599957	94.8179	39.9036	0.532636	0.534163	0	0	0	0	0	0	0	0
10600004.402320076	95.0672	39.6543	0.539796	0.537163	0	0	0	0	0	0	0	0
10699998.064039964	95.3133	39.4082	0.546975	0.540144	0	0	0	0	0	0	0	0
10800004.985760087	95.5563	39.1653	0.554172	0.543107	0	0	0	0	0	0	0	0
10899998.647479976	95.7961	38.9254	0.561388	0.546052	0	0	0	0	0	0	0	0
11000005.569200097	96.033	38.6886	0.568621	0.548978	0	0	0	0	0	0	0	0
