t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
0.0104827	202.742	19.6548	1.98489	0.346415	0	0	0	0	0	0	0	0
0.0105581	202.831	19.5659	2.00018	0.347894	0	0	0	0	0	0	0	0
0.0106335	202.919	19.4779	2.01548	0.349366	0	0	0	0	0	0	0	0
0.0107089	203.006	19.3907	2.03079	0.350832	0	0	0	0	0	0	0	0
0.0107843	203.092	19.3044	2.0461	0.352291	0	0	0	0	0	0	0	0
0.0108597	203.178	19.2189	2.06142	0.353744	0	0	0	0	0	0	0	0
0.0109351	203.262	19.1342	2.07675	0.35519	0	0	0	0	0	0	0	0
0.0110106	203.346	19.0503	2.09208	0.35663	0	0	0	0	0	0	0	0
0.011086	203.429	18.9672	2.10742	0.358063	0	0	0	0	0	0	0	0
0.0111614	203.512	18.8848	2.12276	0.35949	0	0	0	0	0	0	0	0
0.0112368	203.593	18.8033	2.13812	0.360912	0	0	0	0	0	0	0	0
0.0113122	203.674	18.7224	2.15347	0.362327	0	0	0	0	0	0	0	0
0.0113876	203.754	18.6423	2.16884	0.363736	0	0	0	0	0	0	0	0
0.011463	203.834	18.563	2.1842	0.365138	0	0	0	0	0	0	0	0
0.0115385	203.912	18.4844	2.19958	0.366535	0	0	0	0	0	0	0	0
0.0116139	203.99	18.4064	2.21496	0.367926	0	0	0	0	0	0	0	0
0.0116893	204.067	18.3292	2.23035	0.369312	0	0	0	0	0	0	0	0
0.0117647	204.144	18.2527	2.24574	0.370691	0	0	0	0	0	0	0	0
0.0118401	204.22	18.1768	2.26114	0.372065	0	0	0	0	0	0	0	0
0.0119155	204.295	18.1016	2.27654	0.373433	0	0	0	0	0	0	0	0
0.011991	204.37	18.0271	2.29195	0.374795	0	0	0	0	0	0	0	0
0.0120664	204.443	17.9532	2.30737	0.376152	0	0	0	0	0	0	0	0
0.0121418	204.517	17.8799	2.32279	0.377503	0	0	0	0	0	0	0	0
0.0122172	204.589	17.8073	2.33821	0.378849	0	0	0	0	0	0	0	0
0.0122926	204.661	17.7354	2.35365	0.380189	0	0	0	0	0	0	0	0
0.012368	204.733	17.664	2.36908	0.381524	0	0	0	0	0	0	0	0
0.0124434	204.803	17.5932	2.38453	0.382853	0	0	0	0	0	0	0	0
0.0125189	204.874	17.5231	2.39997	0.384177	0	0	0	0	0	0	0	0
0.0125943	204.943	17.4535	2.41543	0.385496	0	0	0	0	0	0	0	0
0.0126697	205.012	17.3845	2.43089	0.38681	0	0	0	0	0	0	0	0
0.0127451	205.081	17.3161	2.44635	0.388118	0	0	0	0	0	0	0	0
0.0128205	205.148	17.2482	2.46182	0.389421	0	0	0	0	0	0	0	0
0.0128959	205.216	17.1809	2.47729	0.39072	0	0	0	0	0	0	0	0
0.0129713	205.282	17.1142	2.49277	0.392013	0	0	0	0	0	0	0	0
0.0130468	205.349	17.048	2.50825	0.393301	0	0	0	0	0	0	0	0
0.0131222	205.414	16.9824	2.52374	0.394584	0	0	0	0	0	0	0	0
0.0131976	205.479	16.9173	2.53924	0.395862	0	0	0	0	0	0	0	0
0.013273	205.544	16.8527	2.55473	0.397136	0	0	0	0	0	0	0	0
0.0133484	205.608	16.7886	2.57024	0.398404	0	0	0	0	0	0	0	0
0.0134238	205.672	16.725	2.58575	0.399668	0	0	0	0	0	0	0	0
0.0134992	205.735	16.662	2.60126	0.400927	0	0	0	0	0	0	0	0
0.0135747	205.797	16.5994	2.61678	0.402181	0	0	0	0	0	0	0	0
0.0136501	205.859	16.5373	2.6323	0.403431	0	0	0	0	0	0	0	0
0.0137255	205.921	16.4757	2.64783	0.404676	0	0	0	0	0	0	0	0
0.0138009	205.982	16.4146	2.66336	0.405916	0	0	0	0	0	0	0	0
0.0138763	206.043	16.354	2.6789	0.407151	0	0	0	0	0	0	0	0
0.0139517	206.103	16.2938	2.69444	0.408382	0	0	0	0	0	0	0	0
0.0140271	206.162	16.2341	2.70998	0.409609	0	0	0	0	0	0	0	0
0.0141026	206.222	16.1749	2.72553	0.410831	0	0	0	0	0	0	0	0
0.014178	206.281	16.1161	2.74109	0.412049	0	0	0	0	0	0	0	0
0.0142534	206.339	16.0578	2.75664	0.413262	0	0	0	0	0	0	0	0
0.0143288	206.397	15.9999	2.77221	0.414471	0	0	0	0	0	0	0	0
0.0144042	206.454	15.9424	2.78778	0.415675	0	0	0	0	0	0	0	0
0.0144796	206.511	15.8854	2.80335	0.416875	0	0	0	0	0	0	0	0
0.0145551	206.568	15.8288	2.81892	0.418071	0	0	0	0	0	0	0	0
0.0146305	206.624	15.7726	2.8345	0.419263	0	0	0	0	0	0	0	0
0.0147059	206.68	15.7168	2.85009	0.42045	0	0	0	0	0	0	0	0
0.0147813	206.735	15.6614	2.86568	0.421633	0	0	0	0	0	0	0	0
0.0148567	206.79	15.6065	2.88127	0.422812	0	0	0	0	0	0	0	0
0.0149321	206.845	15.5519	2.89687	0.423987	0	0	0	0	0	0	0	0
0.0150075	206.899	15.4977	2.91247	0.425158	0	0	0	0	0	0	0	0
0.015083	206.953	15.444	2.92807	0.426325	0	0	0	0	0	0	0	0
0.0151584	207.006	15.3906	2.94368	0.427487	0	0	0	0	0	0	0	0
0.0152338	207.059	15.3376	2.9593	0.428646	0	0	0	0	0	0	0	0
0.0153092	207.112	15.285	2.97491	0.429801	0	0	0	0	0	0	0	0
0.0153846	207.164	15.2327	2.99054	0.430952	0	0	0	0	0	0	0	0
0.01546	207.216	15.1808	3.00616	0.432098	0	0	0	0	0	0	0	0
0.0155354	207.267	15.1293	3.02179	0.433241	0	0	0	0	0	0	0	0
0.0156109	207.318	15.0782	3.03742	0.43438	0	0	0	0	0	0	0	0
0.0156863	207.369	15.0274	3.05306	0.435515	0	0	0	0	0	0	0	0
0.0157617	207.42	14.977	3.0687	0.436647	0	0	0	0	0	0	0	0
0.0158371	207.47	14.9269	3.08434	0.437774	0	0	0	0	0	0	0	0
0.0159125	207.519	14.8771	3.09999	0.438898	0	0	0	0	0	0	0	0
0.0159879	207.569	14.8277	3.11564	0.440018	0	0	0	0	0	0	0	0
0.0160633	207.618	14.7787	3.1313	0.441135	0	0	0	0	0	0	0	0
0.0161388	207.667	14.73	3.14696	0.442247	0	0	0	0	0	0	0	0
0.0162142	207.715	14.6816	3.16262	0.443356	0	0	0	0	0	0	0	0
0.0162896	207.763	14.6335	3.17829	0.444462	0	0	0	0	0	0	0	0
0.016365	207.811	14.5858	3.19396	0.445564	0	0	0	0	0	0	0	0
0.0164404	207.858	14.5383	3.20963	0.446662	0	0	0	0	0	0	0	0
0.0165158	207.905	14.4912	3.22531	0.447756	0	0	0	0	0	0	0	0
0.0165913	207.952	14.4445	3.24099	0.448848	0	0	0	0	0	0	0	0
0.0166667	207.999	14.398	3.25668	0.449935	0	0	0	0	0	0	0	0
0.0167421	208.045	14.3518	3.27236	0.451019	0	0	0	0	0	0	0	0
0.0168175	208.091	14.306	3.28805	0.4521	0	0	0	0	0	0	0	0
0.0168929	208.136	14.2604	3.30375	0.453177	0	0	0	0	0	0	0	0
0.0169683	208.181	14.2151	3.31945	0.454251	0	0	0	0	0	0	0	0
0.0170437	208.226	14.1702	3.33515	0.455321	0	0	0	0	0	0	0	0
0.0171192	208.271	14.1255	3.35085	0.456388	0	0	0	0	0	0	0	0
0.0171946	208.316	14.0811	3.36656	0.457452	0	0	0	0	0	0	0	0
0.01727	208.36	14.037	3.38227	0.458512	0	0	0	0	0	0	0	0
0.0173454	208.403	13.9932	3.39799	0.459569	0	0	0	0	0	0	0	0
0.0174208	208.447	13.9497	3.41371	0.460622	0	0	0	0	0	0	0	0
0.0174962	208.49	13.9064	3.42943	0.461673	0	0	0	0	0	0	0	0
0.0175716	208.533	13.8635	3.44515	0.46272	0	0	0	0	0	0	0	0
0.0176471	208.576	13.8207	3.46088	0.463764	0	0	0	0	0	0	0	0
0.0177225	208.618	13.7783	3.47661	0.464805	0	0	0	0	0	0	0	0
0.0177979	208.66	13.7361	3.49235	0.465842	0	0	0	0	0	0	0	0
0.0178733	208.702	13.6942	3.50809	0.466876	0	0	0	0	0	0	0	0
0.0179487	208.744	13.6526	3.52383	0.467908	0	0	0	0	0	0	0	0
0.0180241	208.785	13.6112	3.53957	0.468936	0	0	0	0	0	0	0	0
0.0180995	208.827	13.5701	3.55532	0.469961	0	0	0	0	0	0	0	0
0.018175	208.867	13.5292	3.57107	0.470982	0	0	0	0	0	0	0	0
0.0182504	208.908	13.4886	3.58682	0.472001	0	0	0	0	0	0	0	0
0.0183258	208.948	13.4482	3.60258	0.473017	0	0	0	0	0	0	0	0
0.0184012	208.989	13.4081	3.61834	0.47403	0	0	0	0	0	0	0	0
0.0184766	209.028	13.3682	3.6341	0.475039	0	0	0	0	0	0	0	0
0.018552	209.068	13.3286	3.64986	0.476046	0	0	0	0	0	0	0	0
0.0186275	209.107	13.2892	3.66563	0.47705	0	0	0	0	0	0	0	0
0.0187029	209.147	13.2501	3.6814	0.47805	0	0	0	0	0	0	0	0
0.0187783	209.185	13.2111	3.69718	0.479048	0	0	0	0	0	0	0	0
0.0188537	209.224	13.1725	3.71296	0.480043	0	0	0	0	0	0	0	0
0.0189291	209.263	13.134	3.72874	0.481035	0	0	0	0	0	0	0	0
0.0190045	209.301	13.0958	3.74452	0.482024	0	0	0	0	0	0	0	0
0.0190799	209.339	13.0578	3.7603	0.48301	0	0	0	0	0	0	0	0
0.0191554	209.377	13.02	3.77609	0.483993	0	0	0	0	0	0	0	0
0.0192308	209.414	12.9825	3.79188	0.484974	0	0	0	0	0	0	0	0
0.0193062	209.451	12.9451	3.80768	0.485952	0	0	0	0	0	0	0	0
0.0193816	209.489	12.908	3.82348	0.486926	0	0	0	0	0	0	0	0
0.019457	209.525	12.8711	3.83928	0.487898	0	0	0	0	0	0	0	0
0.0195324	209.562	12.8345	3.85508	0.488868	0	0	0	0	0	0	0	0
0.0196078	209.599	12.798	3.87088	0.489834	0	0	0	0	0	0	0	0
0.0196833	209.635	12.7617	3.88669	0.490798	0	0	0	0	0	0	0	0
0.0197587	209.671	12.7257	3.9025	0.491759	0	0	0	0	0	0	0	0
0.0198341	209.707	12.6899	3.91832	0.492718	0	0	0	0	0	0	0	0
0.0199095	209.742	12.6542	3.93413	0.493673	0	0	0	0	0	0	0	0
0.0199849	209.778	12.6188	3.94995	0.494626	0	0	0	0	0	0	0	0
0.0200603	209.813	12.5836	3.96577	0.495576	0	0	0	0	0	0	0	0
0.0201357	209.848	12.5486	3.9816	0.496524	0	0	0	0	0	0	0	0
0.0202112	209.883	12.5137	3.99743	0.497469	0	0	0	0	0	0	0	0
0.0202866	209.918	12.4791	4.01325	0.498412	0	0	0	0	0	0	0	0
0.020362	209.952	12.4447	4.02909	0.499351	0	0	0	0	0	0	0	0
0.0204374	209.986	12.4104	4.04492	0.500289	0	0	0	0	0	0	0	0
0.0205128	210.02	12.3764	4.06076	0.501223	0	0	0	0	0	0	0	0
0.0205882	210.054	12.3425	4.0766	0.502155	0	0	0	0	0	0	0	0
0.0206637	210.088	12.3088	4.09244	0.503085	0	0	0	0	0	0	0	0
0.0207391	210.121	12.2754	4.10829	0.504012	0	0	0	0	0	0	0	0
0.0208145	210.155	12.2421	4.12413	0.504936	0	0	0	0	0	0	0	0
0.0208899	210.188	12.209	4.13998	0.505858	0	0	0	0	0	0	0	0
0.0209653	210.221	12.176	4.15584	0.506778	0	0	0	0	0	0	0	0
0.0210407	210.253	12.1433	4.17169	0.507695	0	0	0	0	0	0	0	0
0.0211161	210.286	12.1107	4.18755	0.508609	0	0	0	0	0	0	0	0
0.0211916	210.318	12.0783	4.20341	0.509522	0	0	0	0	0	0	0	0
0.021267	210.351	12.0461	4.21927	0.510431	0	0	0	0	0	0	0	0
0.0213424	210.383	12.014	4.23514	0.511338	0	0	0	0	0	0	0	0
0.0214178	210.414	11.9822	4.251	0.512243	0	0	0	0	0	0	0	0
0.0214932	210.446	11.9505	4.26687	0.513146	0	0	0	0	0	0	0	0
0.0215686	210.478	11.9189	4.28274	0.514046	0	0	0	0	0	0	0	0
0.021644	210.509	11.8876	4.29862	0.514943	0	0	0	0	0	0	0	0
0.0217195	210.54	11.8564	4.3145	0.515839	0	0	0	0	0	0	0	0
0.0217949	210.571	11.8254	4.33037	0.516732	0	0	0	0	0	0	0	0
0.0218703	210.602	11.7945	4.34626	0.517622	0	0	0	0	0	0	0	0
0.0219457	210.633	11.7638	4.36214	0.518511	0	0	0	0	0	0	0	0
0.0220211	210.663	11.7333	4.37803	0.519397	0	0	0	0	0	0	0	0
0.0220965	210.694	11.7029	4.39391	0.52028	0	0	0	0	0	0	0	0
0.0221719	210.724	11.6727	4.4098	0.521162	0	0	0	0	0	0	0	0
0.0222474	210.754	11.6426	4.4257	0.522041	0	0	0	0	0	0	0	0
0.0223228	210.784	11.6127	4.44159	0.522918	0	0	0	0	0	0	0	0
0.0223982	210.814	11.583	4.45749	0.523793	0	0	0	0	0	0	0	0
0.0224736	210.843	11.5534	4.47339	0.524665	0	0	0	0	0	0	0	0
0.022549	210.873	11.5239	4.48929	0.525535	0	0	0	0	0	0	0	0
0.0226244	210.902	11.4947	4.50519	0.526403	0	0	0	0	0	0	0	0
0.0226998	210.931	11.4655	4.5211	0.527269	0	0	0	0	0	0	0	0
0.0227753	210.96	11.4365	4.53701	0.528132	0	0	0	0	0	0	0	0
0.0228507	210.989	11.4077	4.55292	0.528994	0	0	0	0	0	0	0	0
0.0229261	211.018	11.379	4.56883	0.529853	0	0	0	0	0	0	0	0
0.0230015	211.046	11.3505	4.58475	0.53071	0	0	0	0	0	0	0	0
0.0230769	211.075	11.3221	4.60066	0.531565	0	0	0	0	0	0	0	0
0.0231523	211.103	11.2938	4.61658	0.532418	0	0	0	0	0	0	0	0
0.0232278	211.131	11.2657	4.63251	0.533269	0	0	0	0	0	0	0	0
0.0233032	211.159	11.2377	4.64843	0.534117	0	0	0	0	0	0	0	0
0.0233786	211.187	11.2099	4.66435	0.534963	0	0	0	0	0	0	0	0
0.023454	211.214	11.1822	4.68028	0.535808	0	0	0	0	0	0	0	0
0.0235294	211.242	11.1547	4.69621	0.53665	0	0	0	0	0	0	0	0
0.0236048	211.269	11.1273	4.71214	0.53749	0	0	0	0	0	0	0	0
0.0236802	211.297	11.1	4.72808	0.538328	0	0	0	0	0	0	0	0
0.0237557	211.324	11.0728	4.74401	0.539165	0	0	0	0	0	0	0	0
0.0238311	211.351	11.0458	4.75995	0.539999	0	0	0	0	0	0	0	0
0.0239065	211.378	11.019	4.77589	0.540831	0	0	0	0	0	0	0	0
0.0239819	211.404	10.9922	4.79183	0.541661	0	0	0	0	0	0	0	0
0.0240573	211.431	10.9656	4.80778	0.542489	0	0	0	0	0	0	0	0
0.0241327	211.457	10.9391	4.82372	0.543314	0	0	0	0	0	0	0	0
0.0242081	211.484	10.9128	4.83967	0.544138	0	0	0	0	0	0	0	0
0.0242836	211.51	10.8866	4.85562	0.54496	0	0	0	0	0	0	0	0
0.024359	211.536	10.8605	4.87157	0.54578	0	0	0	0	0	0	0	0
0.0244344	211.562	10.8345	4.88753	0.546599	0	0	0	0	0	0	0	0
0.0245098	211.588	10.8087	4.90348	0.547415	0	0	0	0	0	0	0	0
0.0245852	211.614	10.7829	4.91944	0.548229	0	0	0	0	0	0	0	0
0.0246606	211.639	10.7573	4.9354	0.549041	0	0	0	0	0	0	0	0
0.024736	211.665	10.7319	4.95136	0.549851	0	0	0	0	0	0	0	0
0.0248115	211.69	10.7065	4.96733	0.55066	0	0	0	0	0	0	0	0
0.0248869	211.715	10.6813	4.98329	0.551466	0	0	0	0	0	0	0	0
0.0249623	211.74	10.6562	4.99926	0.552271	0	0	0	0	0	0	0	0
0.0250377	211.765	10.6312	5.01523	0.553073	0	0	0	0	0	0	0	0
0.0251131	211.79	10.6063	5.0312	0.553874	0	0	0	0	0	0	0	0
0.0251885	211.815	10.5816	5.04717	0.554673	0	0	0	0	0	0	0	0
