t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
2.2000064178401106e-09	111.397	23.3241	1.43993	0.79527	0	0	0	0	0	0	0	0
2.2100044580120766e-09	111.48	23.2411	1.44833	0.797026	0	0	0	0	0	0	0	0
2.220002498184043e-09	111.563	23.1587	1.45674	0.798776	0	0	0	0	0	0	0	0
2.230000538356009e-09	111.645	23.0768	1.46516	0.800519	0	0	0	0	0	0	0	0
2.2399985785279754e-09	111.726	22.9956	1.47358	0.802256	0	0	0	0	0	0	0	0
2.249996618699942e-09	111.807	22.915	1.48201	0.803988	0	0	0	0	0	0	0	0
2.259994658871908e-09	111.887	22.8349	1.49045	0.805713	0	0	0	0	0	0	0	0
2.2700059590441025e-09	111.966	22.7554	1.49889	0.807432	0	0	0	0	0	0	0	0
2.280003999216069e-09	112.045	22.6764	1.50733	0.809145	0	0	0	0	0	0	0	0
2.290002039388035e-09	112.124	22.598	1.51579	0.810852	0	0	0	0	0	0	0	0
2.3000000795600014e-09	112.201	22.5202	1.52425	0.812553	0	0	0	0	0	0	0	0
2.309998119731968e-09	112.279	22.4429	1.53271	0.814249	0	0	0	0	0	0	0	0
2.319996159903934e-09	112.355	22.3661	1.54118	0.815938	0	0	0	0	0	0	0	0
2.3299942000759003e-09	112.432	22.2899	1.54966	0.817622	0	0	0	0	0	0	0	0
2.3400055002480945e-09	112.507	22.2142	1.55814	0.8193	0	0	0	0	0	0	0	0
2.3500035404200605e-09	112.583	22.139	1.56663	0.820973	0	0	0	0	0	0	0	0
2.360001580592027e-09	112.657	22.0643	1.57512	0.82264	0	0	0	0	0	0	0	0
2.3699996207639938e-09	112.731	21.9902	1.58362	0.824301	0	0	0	0	0	0	0	0
2.37999766093596e-09	112.805	21.9165	1.59212	0.825956	0	0	0	0	0	0	0	0
2.3899957011079262e-09	112.878	21.8434	1.60063	0.827606	0	0	0	0	0	0	0	0
2.3999937412798926e-09	112.951	21.7707	1.60915	0.829251	0	0	0	0	0	0	0	0
2.410005041452087e-09	113.023	21.6986	1.61767	0.83089	0	0	0	0	0	0	0	0
2.420003081624053e-09	113.095	21.6269	1.6262	0.832524	0	0	0	0	0	0	0	0
2.4300011217960193e-09	113.166	21.5557	1.63473	0.834152	0	0	0	0	0	0	0	0
2.4399991619679853e-09	113.237	21.485	1.64326	0.835775	0	0	0	0	0	0	0	0
2.4499972021399518e-09	113.307	21.4148	1.65181	0.837393	0	0	0	0	0	0	0	0
2.459995242311918e-09	113.377	21.345	1.66035	0.839005	0	0	0	0	0	0	0	0
2.470006542484113e-09	113.446	21.2757	1.66891	0.840612	0	0	0	0	0	0	0	0
2.480004582656079e-09	113.515	21.2068	1.67747	0.842214	0	0	0	0	0	0	0	0
2.4900026228280453e-09	113.583	21.1384	1.68603	0.843811	0	0	0	0	0	0	0	0
2.5000006630000117e-09	113.651	21.0705	1.6946	0.845402	0	0	0	0	0	0	0	0
2.5099987031719777e-09	113.719	21.003	1.70317	0.846989	0	0	0	0	0	0	0	0
2.519996743343944e-09	113.786	20.9359	1.71175	0.84857	0	0	0	0	0	0	0	0
2.52999478351591e-09	113.852	20.8693	1.72033	0.850147	0	0	0	0	0	0	0	0
2.5400060836881044e-09	113.918	20.8031	1.72892	0.851718	0	0	0	0	0	0	0	0
2.550004123860071e-09	113.984	20.7373	1.73751	0.853284	0	0	0	0	0	0	0	0
2.5600021640320373e-09	114.05	20.6719	1.74611	0.854846	0	0	0	0	0	0	0	0
2.5700002042040033e-09	114.115	20.607	1.75472	0.856402	0	0	0	0	0	0	0	0
2.5799982443759697e-09	114.179	20.5425	1.76333	0.857954	0	0	0	0	0	0	0	0
2.5899962845479357e-09	114.243	20.4784	1.77194	0.859501	0	0	0	0	0	0	0	0
2.5999943247199025e-09	114.307	20.4147	1.78056	0.861043	0	0	0	0	0	0	0	0
2.6100056248920968e-09	114.37	20.3514	1.78918	0.86258	0	0	0	0	0	0	0	0
2.6200036650640632e-09	114.433	20.2885	1.79781	0.864112	0	0	0	0	0	0	0	0
2.6300017052360292e-09	114.496	20.226	1.80644	0.86564	0	0	0	0	0	0	0	0
2.6399997454079957e-09	114.558	20.1638	1.81508	0.867163	0	0	0	0	0	0	0	0
