Mass	Radius	phi	RhoND	Temp	Rho	Pres	Lumi	H1	He4	He3	C12	C13	N14	N15	O16	O17	O18	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni
0.5642719	0.281	3.0980320820669687	10.671142842343963	7104000.0	15.03	1.449e+16	0.99576	0.7206899999999999	0.26119000000000003	0.0033159999999999995	0.002633	3.214e-05	0.0007789	1.913e-06	0.006445	2.604e-06	1.561e-05	0.001417	3.542e-05	0.0006814	6.008e-05	0.0007519	6.897e-06	0.0003747	4.981e-06	7.544e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.696e-05
0.565525	0.2815	3.094461364515392	10.614343678845126	7093000.0	14.95	1.438e+16	0.99583	0.72075	0.26115	0.003302	0.002633	3.214e-05	0.0007789	1.913e-06	0.006445	2.604e-06	1.56e-05	0.001417	3.542e-05	0.0006814	6.008e-05	0.0007519	6.897e-06	0.0003747	4.981e-06	7.544e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.696e-05
0.5667781999999999	0.282	3.0908954160156634	10.55754451534629	7082000.0	14.87	1.428e+16	0.99589	0.7208	0.26111	0.003287	0.002633	3.213e-05	0.0007788	1.913e-06	0.006444	2.604e-06	1.56e-05	0.001417	3.542e-05	0.0006813	6.008e-05	0.0007519	6.897e-06	0.0003747	4.981e-06	7.544e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.696e-05
0.5680314000000001	0.2825	3.0873342249010687	10.500745351847453	7071000.0	14.79	1.418e+16	0.99595	0.7208600000000001	0.26107	0.003272	0.002632	3.212e-05	0.0007788	1.913e-06	0.006444	2.604e-06	1.56e-05	0.001417	3.542e-05	0.0006813	6.008e-05	0.0007519	6.897e-06	0.0003747	4.981e-06	7.543e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.696e-05
0.5692845	0.28300000000000003	3.0837777801645028	10.43684629291126	7060000.0	14.7	1.408e+16	0.99602	0.72091	0.26103000000000004	0.003258	0.002632	3.211e-05	0.0007788	1.913e-06	0.006444	2.6030000000000003e-06	1.56e-05	0.001417	3.542e-05	0.0006813	6.008e-05	0.0007519	6.897e-06	0.0003747	4.981e-06	7.543e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.843e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.695e-05
0.5705376999999999	0.2835	3.080226070516446	10.380047129412425	7049000.0	14.62	1.398e+16	0.99608	0.72097	0.26099	0.003243	0.002632	3.21e-05	0.0007787000000000001	1.913e-06	0.006444	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006813	6.008e-05	0.0007518	6.897e-06	0.0003747	4.981e-06	7.543e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.843e-07	1.878e-05	1.373e-05	0.001302	3.614e-06	7.695e-05
0.5717908	0.284	3.0766790846960106	10.323247965913588	7038000.0	14.54	1.388e+16	0.99614	0.72102	0.26095	0.003229	0.002632	3.209e-05	0.0007787000000000001	1.913e-06	0.006443000000000001	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006813	6.008e-05	0.0007518	6.896000000000001e-06	0.0003747	4.981e-06	7.543e-05	3.889e-06	6.465e-05	4.173e-08	3.219e-06	3.843e-07	1.878e-05	1.372e-05	0.001302	3.614e-06	7.695e-05
0.573044	0.2845	3.0731368114753304	10.266448802414752	7027000.0	14.46	1.379e+16	0.99621	0.72108	0.26091	0.003214	0.002632	3.208e-05	0.0007787000000000001	1.913e-06	0.006443000000000001	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006813	6.008e-05	0.0007518	6.896000000000001e-06	0.0003747	4.981e-06	7.543e-05	3.888e-06	6.464e-05	4.173e-08	3.219e-06	3.843e-07	1.878e-05	1.372e-05	0.001302	3.614e-06	7.695e-05
0.5742972	0.285	3.0695992393473794	10.209649638915915	7016000.0	14.38	1.369e+16	0.99627	0.72114	0.26086	0.003199	0.002632	3.208e-05	0.0007786000000000001	1.913e-06	0.006443000000000001	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006813	6.007e-05	0.0007518	6.896000000000001e-06	0.0003747	4.98e-06	7.543e-05	3.888e-06	6.464e-05	4.173e-08	3.218e-06	3.843e-07	1.878e-05	1.372e-05	0.001302	3.614e-06	7.695e-05
0.5755503000000001	0.2855	3.06606635745367	10.152850475417079	7005000.0	14.3	1.359e+16	0.99633	0.72119	0.26082	0.0031850000000000003	0.002632	3.207e-05	0.0007786000000000001	1.913e-06	0.006443000000000001	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006812000000000001	6.007e-05	0.0007518	6.896000000000001e-06	0.0003747	4.98e-06	7.542e-05	3.888e-06	6.464e-05	4.172e-08	3.218e-06	3.843e-07	1.877e-05	1.372e-05	0.001302	3.614e-06	7.695e-05
